id,sign,title,summary,intro,introQuote,detail,thumbnail
29,Sign 29,Micro Eco,Improvement of eco-decomposition capability,From Eco-activities at the society level to a convincing Eco-life I can feel and be satisfied with,People are growing tired of an imposed ethical sense of values and start to seek direct motivation.,"According to an opinion poll performed by the Cabinet Office, small eco-activities that can be carried out easily by each individual such as carrying an eco-bag in order to reduce waste are gradually penetrating among the general public. In the case of eating habits, small-eco activities are also spreading, for example mineral water claiming ecological soundness as its basic concept gains high popularity or the number of people who grow food in their home garden as self production and self consumption is increasing. This trend can also be observed in energy consumption, such as in the permeation of LED lighting in general households. The Ministry of Economy, Trade and Industry is also trying to enhance the motivation of the people in the reduction of the environmental burden by visualizing energy through deployment of Smart Meters, the automated meter reader of electricity consumption in every household. From now on, the focus will shift from the former vague enlightenment type eco activities at the level of society to accessible ecological activities in our daily lives where we can actually understand, act and feel the effect.",micro-eco.jpg
30,Sign 30,"The Slower, The Smarter",The needs for both city and nature,There is not just one ideal way of living,I choose this town because I would like to enjoy urban life as well as life in the countryside.,"The number of people who experience farming as a leisure activity or people who work on their allotment gardens seriously is increasing. The trend started in England, with the title WWOOF/World Wide Opportunities on Organic Farms where accommodation and meals are provided in exchange for help with farm work has now spread to 20 countries including Japan. Moreover, there are many people whose lives are based in the countryside and want to enjoy the convenience of urban life while living in natural surroundings. With this sort of background, some municipalities in rural areas adjacent to cities have started to work on inviting people stressing the appeal of compatibility with both supporting the environment of permaculture and accessibility to the city center as an additional value. In order to pursue a comfortable life that matches the individual s sense of values, the number of families who will change their work life balance dynamically along with their stage of life will increase in the future. It is also expected that local industry will be enhanced through improvement of environment and transportation put in place to accept this new population, but not only that, expansion of peripheral markets giving rise to new needs is also expected.",the-slower-the-smarter.jpg
31,Sign 31,Ownership,From ownership to usership,Satisfaction is gained not only through delighting in material possessions,"Satisfaction is gained through owning the story behind the object, rather than from the approval of others or self satisfaction through purchasing products.","Throughout the world consumer activities are changing from ""ownership to usage"". The movement toward reducing the environmental burden has added a sense of social responsibility to purchasing activity that used to be carried out simply under one's own responsibility, and regulations covering appropriate disposal methods have become an obstacle to ownership. On the other hand, because of the increased avallability of opportunities to use a car without owning one through car sharing schemes such as Zipcar, etc. or using cloud computing, the choice of a ""life without ownership"" is now open to us. Moreover, expansion of freemium business is now changing the meaning of the price paid for ownership or usage. Increasingly, the consumer no longer sees a meaning in the simple fact of owning something. Experience gained through interaction with objects or services, formation of human relationships, personal principles or social significance are becoming more valued than a sense of ownership or being an owner. With regard to social assets, while it is becoming difficult for municipalities to develop a social infrastructure and there is a growing need for the creation of a social system through cooperation between the public and private sectors, the individual's sense of ownership of social assets is essential for sustainability and there is a strong need for a system that creates a sense of empathy and participation among the citizens.",ownership.jpg
32,Sign 32,Biohacking Urbanism,Cities as living laboratories for biological innovation and human enhancement,"""We've always been 'biohackers'...""","Artist Koen Vanmechelen's Planetary Community Chicken project represents the ultimate bio-art, exploring humanity's role in altering life itself within urban contexts.","Biohacking represents a growing movement where citizens actively experiment with biology, genetics, and human enhancement, often outside traditional institutional frameworks. Koen Vanmechelen's Planetary Community Chicken installation exemplifies this trend, showcasing how humans have always modified life but are now doing so with unprecedented awareness and capability. In urban contexts, biohacking manifests through community biology labs, urban farms experimenting with gene-edited crops, and individuals using technology to monitor and enhance their bodies. This democratization of biological science raises profound questions about regulation, ethics, and the future of human evolution. Cities are becoming testbeds for these experiments, with some municipalities embracing innovation districts dedicated to life sciences while others grapple with how to govern these activities. The trend suggests a future where biological modification becomes as common as digital technology, fundamentally altering our relationship with nature, health, and what it means to be human in urban environments.",biohacking_city.jpg
33,Sign 33,Emerging Community,New relationships with developing countries,The future of one's own country can first be seen through support for other countries,New state-to-state relations can be constructed through mutual development ald.,"In recent years, an increasing number of developed countries are trying to contribute to the development of fast-growing developing countries through urban creation Industries such as the construction of smart cities. On the other hand, various problems are more aggravated in developed countries such as that the per capita burden is increasing along with the aging of the population combined with the diminishing number of children and the number of users of facilities has reached saturation point, so ""medical tourism"" where patients from developed countries receive medical treatment in Thailand or Singapore is growing very popular. This sort of international exchange will be crucial to both parties in order for developed countries to attain sustainable development and for developing countries to attain an affluent lifestyle. Developed countries are trying to realize a sustainable society within their borders while supporting developing countries in the construction of sophisticated and sustainable future cities, so that reverse innovation utilizing the experience and know-how gained from developing countries will be actively pursued. It is actually the country that gives the support, who receives the support*",emerging-community.jpg
34,Sign 34,DIY Society,DIY oriented society,"Public... you won' tfind it no matter how hard you look, we are the public",People want hand-made towns after their experience of ready-made towns such as designated districts.,"The number of people enjoying home gardening is increasing. This trend is not only an extension of the hobby, but it is also a sign of a ""DIY living environment"" to ""create security on your own"" due to mistrust towards distribution margins, suspicious origins and so on. This trend demonstrates the movement towards selection according to one's own sense of values through self creation or customization of products and services including private importation and asset management. It indicates that people will also desire DIY in the infrastructure held such as electricity and water supplies in the future. For instance, when household solar power generation becomes more widespread, people who use it will probably require electric companies to purchase the power generated or set pricing with consideration for volatility risk, or for social services such as marriage, insurance and pensions, a shift will probably occur toward looking for a movement into privatization through incorporating the ideas of the private sector into these institutions. As support for this social service DIY trend is propagated, customizable administrative foundations will be constructed for each region and towns that satisfy the various value mindsets of the people will spring up one after another.",diy-society.jpg
35,Sign 35,Reshaped Infrastructure,Reviewing the aging infrastructure,To whom can we entrust this valuable property?,We'd like to entrust this to a rellable party because this infrastructure will be an essential part of our everyday lives In the future.,"In the case of social infrastructure including roads, public facilities, water and electricity that used to be controlled and operated mainly by the public administration, countermeasures against aging are now becoming a big issue.Due to various reasons such as resource depletion, cost collapse, risk measures in an emergency and changes in the individual's consciousness of ownership and usage, the role of public projects themselves have become open to re-examination. The number of public service activities in which the private sector participates will increase further, and there will be increased diversity in the type, quality and price of more convenient and user-friendly services. Moreover, as shown by the example of EV stations, with the need for a new infrastructure facility business that can be deployed as an alternative to existing energy and new technology, new and different supply methods become possible and they will be widely used. At the same time, a new production and consumption circulation system at a regional or individual level will be produced, and It is anticipated that the securing of infrastructure and management of business will be promoted beyond the existing range.",reshaped-infrastructure.jpg
36,Sign 36,Sense of Safety,Hyperawareness of perceived public security/observed public security,How can we eliminate the anxiety we have uncovered?,Knowledge and perception are sufficiently enhanced for us to be able to be confdent of our own safety Public security "perceived public security' that people feel or sense subjectively is getting worse.,"Anticrime facilities such as surveillance cameras are widespread among households, and anticrime robots for the household are expected to play a part in the future. In the local area, the ""police box"" used to function as a visible security channel for the area, but local convenience stores function as an anticrime base these days. The channels are diversifed. There is also a movement toward reconstructing the trust relationship of local residents that appears to be fading these days, and to protect the security of the area through joint efforts by residents. Many anticrime volunteer groups are formed and they carry out local patrols. This sort of security DIY is gaining momentum, but on the other hand, people feel anxiety toward the ""surveillance society"", so it is necessary to deliberate on this autonomy carefully in the future in order for them to agree to this.",sense-of-safety.jpg
37,Sign 37,Borderless Medical,Eliminating the borders for medical services,"Anytime, anywhere, personal health care just for me",To gain "my one and only" healthy life in the world.,"There is a growing shortage in the number of healthcare personnel due to the worldwide increase in population and aging of the population, so there will be a more active exchange of human resources across country borders. Therefore, the preparations for accepting foreign workers will be accelerated between countries. Moreover, it is expected that there will be infrastructure development to promote and enrich the functionality of healthcare services for remote diagnosis and treatment. As one usage example for this sort of activity, a familiar place such as a convenience store has the potential to become a channel for medical care provision. On the other hand, construction plans for international medical towns are currently being promoted in various countries, so patients will be able to select medical treatment or plastic surgery services more suited to their own needs from all over the world. Along with this trend, the preparation for accepting patients between countries will be promoted, and the demand for a general coordination service for necessary procedures including medical systems, insurance and inpatient treatment will probably increase.",borderless-medical.jpg
38,Sign 38,The Right to Mobility,Secure and convenient new mobility,"Vehicles are ""tailored to the individual,tailored to society""",There is a desire for transportation devices that perform a role according to the situation and purpose of the individual or in some cases the social situation and purpose.,"Transportation devices with less environmental burden will be further promotedthrough, for example, the improvement of energy efhciency and public transportation systems with better interconnection between the various means otransportation, Furthermore, a change in the individual' s concept of vehicle ""ownership"" will have an effect and there will be a more diverse nature to car orbicycle ""ownership"" including sharing, rental and so on. On the other hand, thepercentage of households with aged people living alone is increasing, and issuessuch as solitary death have started to emerge. Aged people often have diffculty going out alone, so there is high expectation for moving support tools that willower the psychological and physical hurdles that must be overcome when goingout and enable them to maintain a connection with society. lt is also anticipated that the aging population may affect the number of emergency medical carts andtheir capability to fulfill their function. lt is necessary to look into the developmentofcarts capable of handling the transportation of patients to medical institutions inemergency cases such as pandemics or natural disasters safely, securely andeffciently, and it is also necessary to improve the transportation infrastructure.",right-to-mobility.jpg
39,Sign 39,Power of name,Change in value by naming,"It is a force of attraction. It never ceases to attract us, nor disappears from our consciousness.",The meaning and effect of the intangible serviceare judged by the nuance of the name.,"Cities, towns and villages have been merged and schools have been reorganized at the initiative of the government in order to seek sustainable rationality, and furthermore, the regional system to classify Japan into 9- 12 regions is beingin vestigated. The buying and selling of names is becoming popular, for example, the naming rights for facilities have been sought under the initiative of commercialism. This trend means not only a farewell to old familiar names, but also a resetting of people's affection or identification with the local area or the facility itself, or inherited culture and history. On the other hand, there are other cases where the affection towards the area is symbolized in a visible form by contributing a bench bearing one's own name as a memorial or where a name such as ""Metabo"" becomes popular, guides people's activities and gives rise toa huge industry. Naming can become a driving force to motivate a new social norm and arouse people's participation while the identity of the local area and community is drastically changing.",power-of-name.jpg
40,Sign 40,Civic Literacy,The need for social literacy technology,Truth is changed by knowledge. Action is changed by understanding.,There is a need for the sensitivity to accept a flood of information and complex relationships.,"In recent research and business scenarios, the concept of ""literacy"" that originally only applied to the ability to read and write has been broadened to encompassissues such as information literacy or healthcare literacy, and it is used indiscussion as to whether a given person has the reasoning ability within therelevant feld. This is because in their daily lives it is becoming necessary fopeople to have the ability to comprehensively understand and assess the invisible relationships that connect their own lives with society such as the environmental burden behind products or services, public security of the local area and food safety. Along with the high speed changes in the complexity of the environment culture and human relationships around us, there is an increasing need for the capability to read the situation one is in, extract the necessary information foroneself, ascertain the truth and utilize information. One particularly big issue fo the future will be supporting people who are more challenged when it comes to information such as elderly and underage people through training not just toswallow the biased reporting of mass communication or social media, as well asliteracy education for changing the way of life in the local area to deliver a moresecure, safer, more lively and sustainable society.",civic-literacy.jpg
41,Sign 41,Civic Enducation,Promotion of education to improve regional power,Confdence in mutual learning and mutual cooperation is the strength ofthis town.,A space for social gatherings that crosses generational or social divisions is desired in the local area.,"It is said that children nowadays have fewer opportunities to associate with children in different grades or with local people. In a similar way, the seniorgeneration has a strong eagerness to participate in volunteer activities in the locaarea after retirement, but they wonder where they stand in the unfamiliar locasociety and they often cannot ft in very well in a group ofshop owners or senior elderly people who already have roots in the area. To solve this problem, someefforts are being made toward primary education through the construction of school buildings in the form of a complex with facilities for the elderly or offering sections ofthe building that are no longer used due to the dedlining birthrate as avenue for local exchange, pursuing ""education open to the local area"". On the other hand, for the senior generation, efforts are underway to improve theenvironment and allow in ""business people graduates""(creation of utilization opportunities, provision of local education) and offer IT education to solve thedigital divide for elderly people. This sort of effort to connect local people not only results in the promotion of the circulation of knowledge assets, but can also beexpected to assist in the construction of mutual aid relationships, so these types of measures will gain further recognition across the various ministries andagencies as a measure to improve efficiency of the society.",civic-education.jpg
42,Sign 42,Post Price,Diversification of remunerative value,All we want to exchange is value.,Giving concrete form to feelings or efforts that cannot be explained through the remunerative value of labor.,"As shown by the expanslon of the freemium market, the form of exchange value for articles or services has greatly diversifed, For instance, there are activevolunteer ""pro bono"" services that mainly offer the experience and skills ofbusiness people, and people are attracted to them not by monetary feedback asthe exchange value for their labor but by the value that cannot be measured on amonetary scale such as experience aained through contribution to society. Furthermore, social point systems that promote participation in the community arespreading mainly among local shopping and sightseeing areas, and points aregranted when people contribute to society by babysitting neighborhood children, etc. When feelings or efforts that cannot be explained through the remunerative value of labor are actively given concrete shape, there will be a diversification invalue exchange that is not based on money, and many free and flexible humanefforts that do not depend on the existing economic system will take shape.",post-price.jpg
43,Sign 43,Hospitality Crisis,Limitation of services,We try harder and harder but can' t meet the expectation.,True appreclation is gained from the understanding of self-sacrifice and the servlce mentality.,"After the fall of Lehman, services incorporating the concept of hospitality attracteda lot of attention among companles around the world as a means of differentiation. On the other hand, there is an increase in instances where those benefting from a service complain in a sometimes excessive manner not only in the case of service industries including entertainment but also in public services such as education and public services, people say ""we pay such a lot of moneyor ""we have a right to receive individual service"". They are called ""monstel parents"" or ""monster customers"" and cause confusion on site or worsen business conditions. in the effort to achieve a ""free economy"" it is often the case that compensation for service providers becomes vague and their efforts tend to be depreciated as less serious because people believe that ""the seryices are received as a matter of course"", it is also a concern in municipal services thatthere will be an increase in the number of ""nomadic residents"" who move out after beneftina from incentives to recruit permanent residents. Changes in awarenessin the economy and among the public are reguired in the future to ensure that there will not be an imbalance in the increased level of reguirements and theefforts to provide for them and that the ""bounds of the service"" are not exceeded.",hospitality-crisis.jpg
44,Sign 44,Overdiligent,Necessity for comprehensive worker care,It is agonizing to be needed,"The better your reputation becomes the bigger your responsibility gets, and you want to escape it.","Because the telework system and childbirth and nursing support systems have become widespread, it is becoming possible for both men and women to select aflexible way of working in society. With regard to child rearing support inparticular, the number of companies that have on-site day-care centers is increasing and the understanding of system usage is developing in the workplace.The percentage of cases where female employees expecting babiesor mid-career employees who suddenly have to face caring for a family member return to their work is expected to soar in the future due to this sort of improvement of consciousness in work life balance and fexible systems. Moreover, as the forms of employment become more diverse. services to rearrange the labor force through employment matching will increase. For example, people who have left their job but still have passion or skill are encouraged to select a new career subjectively, or they are given education or training so that they will be able to work as a driving force in society. On the other hand, protective measures including mental care become important in order to avoid a situation where the abundance of various social systems and services offering continuous employment will lead to an excessive psychological burdenon workers.",overdiligent.jpg
45,Sign 45,NEET to go,Transition of NEET population,Not working; the new way of working,Supporting society together in cooperation with the increasing ranks of unemployed people.,"The number of NEETs (Not in Employment, Education or Training) is increasing below the surface, and it is estimated that it will exceed a million in 2020. This problem is not unique to Japan, but it is increasing in England, the country of origin for this expression and in China, too. As an adverse effect, the ""collapse of the social security system"", ""increase in tax burden on full time workers"" and ""health problems of NEETs themselves"" due to their irregular lifestyle will put pressure on finances. However, most NEETs are skilled in the use of PCs or the Internet as they spend a lot of time on them, so they have great potential as pioneers in the information society. Some NEETs are completely different from their conventional image as ""people who withdraw from society"". They have grown up in middle class families and have a high degree of academic achievement, but they fail to be interested in ""status, fame or money"" because they have experienced the deceleration of the economy through their parents, so they do not join an organization, but they value ""human relationships and friendship"" and they are outgoing. It is necessary to understand their sense of values towards labor, improve new occupational opportunities and seek contact points for social participation in the future.",neet-to-go.jpg
46,Sign 46,Global Empowerment,Necessity for international human resources,Skills are my passport,I am needed somewhere in the world.,"The domestic labor population will fall by 17% in 2030. We will be facing an crisis of falling birth rate and aging population. This means we will actually be facing a situation where it is in fact impossible for us to support the society and economy of our own country by ourselves. However, the immigration rules restricting entry to Japan are stricter than for other countries, so the supply of labor is insufficient despite the fact that there is a high demand for labor in manufacturing, homemaker services and agriculture, forestry and fishery industries. Strict screening is necessary to maintain order inside the country, but there is an urgent need to improve the system to facilitate smooth acceptance and to expand/fulfill the level of services. For instance, the efforts made in the nursing care field to facilitate the acceptance of caregivers and nurses through goverment-to-government agreements are expected to expand to other fields in the future. On the other hand, among Japanese aged people, the need to utilize their skills globally or meet their desire to find a purpose in life after retirement or association with other people is growing. Agency business for entering overseas companies or markets to support ""long term overseas stays"" will expand, however, it will also be necessary to keep competent senior workers within Japan taking into account the decrease in the number of foreign workers after the earthquake disaster.",global-empowerment.jpg
47,Sign 47,Singleship,Single person safety net,"""Single family"" lifestyle","I found the way for a secure, safe and happy life even alone.","The number of small households including elderly people saying they ""wish to live alone without causing trouble for the children"" and ""working mothers"" is increasing. This does give rise to some issues, where these people become isolated from others and have difficulty in even small activities such as day to day shopping due to various physical, time oriented or economic restrictions limiting their behavior. The number of net supermarkets or care taxi companies has increased rapidly, the number of companion animals to ease mild anxieties has increased and communication methods that work over the net have filled out in response to these issues. Various services to support security in everyday life even when living alone are beginning to emerge. This sort of service will be more important in the future because there are an increasing number of households where people choose to live alone as an individual life style not only among elderly people who separate from their spouses due to various reasons but also among the younger generation. It is expected that there will be a fuller range of administrative measures including a social system to protect single families and small households and provision of education on ""lifestyle technologies"" that promote safety, security and amenity.",singleship.jpg
48,Sign 48,Wishloops,Diversification of last wishes,Ego of living and passing away freely,Live true to one's identity and life style.,"These days people referred to as ""Ohitori-sama (single)* who enjoy an active single life are drawing a lot of attention, so a way of living without ties to conservative commonsense or a sense of values is growing more accepted by society in general. The status after death based on the wishes of the deceased is becoming more diverse such as in ""tree funerals"" where a tree is planted in the place of a grave stone, and there are cases where electronic data is received as an inheritance taking the place of assets in the form of land or money. So, people are attempting to remain true to their diverse sense of values not only during life but also after death. People have started to look for options that reflect their identity or life style where they can remain free and true to themselves during life and after death without being bound by commonsense or customs. When people have the self awareness to ""live and pass away freely"", we need to consider a social system that does not place an excessive burden on future generations while remaining open to their wishes.",wishloops.jpg
49,Sign 49,Model of Family,Diversification of the concept of marriage/concept of family,My concept of family is just like a community,"There should be a ""bond"" more suited to me, easier and more comfortable.","Due to the influence of the global recession and the popularization of a liberal way of thinking about lifestyle, more people have started to doubt the traditional concepts or forms of ""marriage"" or ""household"", and discussion over the hurdle or economic burden of marriage has risen to the surface. As a result, the wedding may not be the ""greatest event in life"" any more among young people, and there has been a big upsurge in the concept of marriage as one option or a re-doable event. Moreover, the younger generation is not so enthusiastic about owning a house or the three sacred treasures that used to be the symbol of material happiness along with marriage, but they tend rather to save up in order to ward off future unhappiness. This probably demonstrates that the investment target has changed from the purchase of consumer products that exemplify happiness to a model where value is attached to an object or event that attests to the existence of oneself in life. The diversification in the concept of marriage and family produces completely new ""family units"", so new measures are required including the fostering of environments that will accept such units and suitable systems/services for their support.",model-of-family.jpg
50,Sign 50,Missing Reality,Ambiguity in boundaries of awareness in communication,"where is my consciousness now? Cogito, ergo sum?",Experiencing difficulty in identifying whether an idea is my own or someone else s.,"The number of users of social network services has increased, and a lot of information is sent over the net, so social networks have become communication networks on a global scale exceeding the framework of company or country borders. We record information as ""memos"" for ourselves and handle information recorded by other people as ""memos"", too. People do not or cannot any longer distinguish whether the information was put there by them or some other. The boundary between primary and secondary production becomes ambiguous when social communication is handled as an external memory device and opinions or information are quoted or used. When you copy the ideas of others, you take them on as though they are your own original creations, and a behavioral chain occurs. This is the ""ambiguity in boundaries of awareness"", and it marks a change in human consciousness through social communication.",missing-reality.jpg
